Sanatci,Album,Sarkilar
Şanışer;Sokrat St,Onuncu Gün,Güya
Şanışer;Sokrat St,Onuncu Gün,Anlamı Yok
Şanışer,Onuncu Gün,Artık Anlamıyorum
