Sarki_Ismi,Muzik_Turu,Popülarite
Why'd You Only Call Me When You're High?,rock,87
Un Ratito,reggae,87
Numb,house,87
Belly Dancer,house,87
Numb,edm,87
Belly Dancer,edm,87
Un Ratito,reggaeton,87
Un Coco,reggaeton,87
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),reggae,87
Feliz Cumpleaños Ferxxo,reggae,87
The Real Slim Shady,hip-hop,87
Hope,emo,86
everything i wanted,electro,86
Freaks,indie-pop,86
Mr. Brightside,rock,86
Prohibidox,latino,86
Softcore,alt-rock,86
The Nights,dance,86
There's Nothing Holdin' Me Back,dance,86
The Motto,trance,86
Hope,hip-hop,86
INDUSTRY BABY (feat. Jack Harlow),hip-hop,86
First Class,k-pop,86
Pepas,reggaeton,86
Pepas,reggae,86
Softcore,alternative,86
abcdefu,alternative,86
Talk that Talk,k-pop,86
Peaches (feat. Daniel Caesar & Giveon),pop,86
Beggin',indie,86
Freaks,indie,86
Andrea,latino,86
Beggin',rock,86
Prohibidox,reggae,86
The Motto,dance,86
Mr. Brightside,alternative,86
INDUSTRY BABY (feat. Jack Harlow),pop,86
STAY (with Justin Bieber),pop,86
The Nights,pop,86
There's Nothing Holdin' Me Back,pop,86
The Nights,edm,86
Shape of You,pop,86
Prohibidox,reggaeton,86
august,pop,86
abcdefu,pop,86
Pepas,latin,86
happier,pop,86
In The Stars,pop,86
Mr. Brightside,alt-rock,86
Freaks,punk,86
Pepas,latino,86
STAY (with Justin Bieber),hip-hop,86
Till I Collapse,hip-hop,86
Dos Mil 16,reggaeton,86
Andrea,reggaeton,86
The Motto,house,86
Softcore,rock,86
Enemy (with JID) - from the series Arcane League of Legends,rock,86
First Class,hip-hop,86
Superman,hip-hop,86
You Proof,country,86
Every Breath You Take,rock,86
The Motto,edm,86
Beggin',indie-pop,86
Me Fui de Vacaciones,latino,85
Everybody Dies In Their Nightmares,emo,85
Livin' On A Prayer,rock,85
Highway to Hell,hard-rock,85
Back In Black,hard-rock,85
Lost,soul,85
Clean White Noise - Loopable with no fade,sleep,85
Take on Me,rock,85
Something Just Like This,dance,85
THE LONELIEST,indie,85
Words (feat. Zara Larsson),electro,85
Creep,indie,85
THE LONELIEST,indie-pop,85
Bad Memories (feat. Elley Duhé & FAST BOY),electro,85
Take on Me,synth-pop,85
Leave Before You Love Me (with Jonas Brothers),electro,85
Bored,electro,85
Shinunoga E-Wa,j-pop,85
Infinity,pop,85
All of Me,soul,85
Pink + White,soul,85
LOVE DIVE,k-pop,85
Leave Before You Love Me (with Jonas Brothers),dance,85
Wake Me Up,dance,85
Running Up That Hill (A Deal With God) - 2018 Remaster,singer-songwriter,85
Heat Waves,indie,85
In the End,alternative,85
Creep,alternative,85
MAMIII,reggaeton,85
Dynamite,k-pop,85
Pink Venom,k-pop,85
Hymn for the Weekend,pop,85
In the End,metal,85
PUNTO 40,latino,85
Livin' On A Prayer,metal,85
Yet To Come,k-pop,85
In the End,grunge,85
Lost in the Fire (feat. The Weeknd),club,85
Easy On Me,british,85
Lost in the Fire (feat. The Weeknd),techno,85
X ÚLTIMA VEZ,latino,85
Los Cachos,latino,85
Otro Atardecer,latino,85
Normal,latino,85
Yo No Soy Celoso,latino,85
MEMORIAS,latino,85
Infinity,rock,85
Thunder,rock,85
House of Memories,rock,85
Shinunoga E-Wa,pop,85
Somewhere Only We Know,piano,85
Running Up That Hill (A Deal With God) - 2018 Remaster,piano,85
Dynamite,pop,85
Levitating (feat. DaBaby),pop,85
Memories,pop,85
Normal,reggaeton,85
X ÚLTIMA VEZ,reggaeton,85
Los Cachos,reggaeton,85
Blank Space,pop,85
Let Me Down Slowly,electro,85
Something Just Like This,electro,85
Levitating (feat. DaBaby),dance,85
positions,dance,85
Let Me Down Slowly,pop,85
Something Just Like This,edm,85
Leave Before You Love Me (with Jonas Brothers),edm,85
Wake Me Up,edm,85
Yet To Come,pop,85
Running Up That Hill (A Deal With God) - 2018 Remaster,r-n-b,85
Creep,alt-rock,85
Leave Before You Love Me (with Jonas Brothers),progressive-house,85
Running Up That Hill (A Deal With God) - 2018 Remaster,songwriter,85
Something Just Like This,pop,85
Photograph,pop,85
positions,pop,85
Pink Venom,pop,85
Say You Won't Let Go,pop,85
Lover,pop,85
Somewhere Only We Know,rock,85
One Dance,hip-hop,85
Stan,hip-hop,85
MAMIII,reggae,85
Words (feat. Zara Larsson),edm,85
Words (feat. Zara Larsson),house,85
X ÚLTIMA VEZ,reggae,85
Los Cachos,reggae,85
Normal,reggae,85
Bad Memories (feat. Elley Duhé & FAST BOY),house,85
Everybody Dies In Their Nightmares,hip-hop,85
Bad Memories (feat. Elley Duhé & FAST BOY),edm,85
Stressed Out,rock,85
Yo No Soy Celoso,reggaeton,85
Otro Atardecer,reggaeton,85
Something Just Like This,house,85
Leave Before You Love Me (with Jonas Brothers),house,85
Back In Black,rock,85
Heat Waves,indie-pop,85
Creep,rock,85
THE LONELIEST,rock,85
Running Up That Hill (A Deal With God) - 2018 Remaster,rock,85
Crazy What Love Can Do,edm,85
Rock and A Hard Place,country,84
Enséñame a Bailar,latino,84
YKWIM?,indie-pop,84
